DATASET_EN,NAME_EN,ADDRESS_EN,LATITUDE,LONGITUDE
Libraries,Gold Coast(Mobile Library 10),"Adjacent to Gold Coast Piazza, Castle Peak Bay, Tuen Mun, N.T.",22.37222445,113.99296037
Libraries,Self-service Library Station (Hong Kong Cultural Centre),"Hong Kong Cultural Centre, 10 Salisbury Road, Tsim Sha Tsui",22.29439061,114.17050449
Libraries,Self-service Library Station(Island East Sports Centre Sitting-out Area),"Island East Sports Centre Sitting-out Area, 52, Lei King Road, Sai Wan Ho",22.28491941,114.2221115
Libraries,"Self-service Library Station (Tsuen Nam Road, Tai Wai)**Service suspension from 22 April 2024 until late October of 2024","2 Tsuen Nam Road, Tai Wai, Sha Tin (near MTR Tai Wai Station Exit D)",22.3730617,114.177944
Libraries,Wan Tau Tong Estate(Mobile Library 11),"Adjacent to Wan Lam House, Wan Tau Tong Estate, Tai Po",22.44262047,114.16788944
Libraries,Nai Chung(Mobile Library 5),"Nai Chung Carpark, Sai Kung North",22.4307597,114.25555
Libraries,Ap Lei Chau Estate(Mobile Library 6),"Adjacent to Lei Tim House, Ap Lei Chau Estate",22.24466171,114.15083
Libraries,Sham Shui Po Public Library,"G/F & 1/F, Sham Shui Po Leisure and Cultural Building, 38 Sham Mong Road, Sham Shui Po, Kowloon",22.3305997,114.14908
Libraries,Yiu On Estate(Mobile Library 5),"Adjacent to Yiu Ping House, Yiu On Estate, Ma On Shan, N.T.",22.41863421,114.23018142
Libraries,Butterfly Estate Public Library,"Unit Nos. 123-130, Ground Floor, Tip Chui House of Butterfly Estate, Tuen Mun, N.T.",22.3763994,113.9629959
Libraries,Tai Hing Public Library,"Unit No. 80, 1/F, Commercial Complex, Tai Hing Estate, Tuen Mun, N.T.",22.40217199,113.97020908
Libraries,On Tai Estate (Mobile Library 8),"Adjacent to Kam Tai House, On Tai Estate, Anderson Road",22.3251967,114.230079
Libraries,Choi Fook Estate (Mobile Library 8),"Adjacent to Choi Lok House, Choi Fook Estate, Kowloon Bay",22.3288857,114.217089
Libraries,On Tat Estate(Mobile Library 2),"Adjacent to Yin Tat House, On Tat Estate, Anderson Road",22.3213797,114.235324
Libraries,Sheung Tak Estate(Mobile Library 2),"Parking area adjacent to TKO Spot, Sheung Tak Estate, Tseung Kwan O",22.31145381,114.25943737
Libraries,Chevalier Garden(Mobile Library 2),"Carpark adjacent to Chevalier Garden Shopping Mall, Ma On Shan, Shatin, N.T.",22.4053187,114.224205
Libraries,Pok Hong Estate(Mobile Library 2),"Adjacent to Pok Hong Community Hall, Pok Hong Estate, Sha Tin",22.3754437,114.194572
Libraries,Ta Kwu Ling Car Park (Mobile Library 5),"Adjacent to Carpark, Ta Kwu Ling Rural Centre Government Building, No. 136 Ping Che Road, Ta Kwu Ling",22.5246847,114.1605
Libraries,Fa Yuen Street Public Library,"4-5/F., Fa Yuen Street Municipal Services Building, 123A Fa Yuen Street, Mong Kok, Kowloon",22.32078166,114.1707013
Libraries,Fanling South Public Library,"Shop Nos. 104A & 105A, First Floor, Dawning Views Shopping Plaza, 23 Yat Ming Road, Fanling, New Territories",22.48719772,114.14349238
Libraries,Tai Wo Estate(Mobile Library 5),"Adjacent to Tai Wo Neighbourhood Community Centre, Tai Wo Estate, Tai Po, N.T.",22.4523577,114.161514
Libraries,Heng Fa Chuen(Mobile Library 9),"Adjacent to Block 6, Shing Man Lane, Heng Fa Chuen, Chai Wan, Hong Kong",22.2758796,114.23894516
Libraries,Discovery Bay(Mobile Library 4),"Adjacent to Discovery Bay Post Office at Discovery Bay Plaza, Discovery Bay",22.29574527,114.01617656
Libraries,Yau Lai Estate(Mobile Library 8),"Adjacent to Fung Lai House, Yau Lai Estate, Yau Tong, Kowloon",22.29991831,114.23630545
Libraries,Cheung Shan Estate(Mobile Library 12),"Adjacent to Sau Shan House, Cheung Shan Estate, Tsuen Wan, N.T.",22.37893135,114.13155544
Libraries,Sun Chui Estate(Mobile Library 11),"Adjacent to Sun Kit House, Sun Chui Estate, Shatin, N.T.",22.37019783,114.18259812
Libraries,Tsing Yi Public Library,"1/F, Tsing Yi Municipal Services Building, 38 Tsing Luk Street, Tsing Yi, N.T.",22.35409834,114.10645957
Libraries,Tai Yuen Estate(Mobile Library 11),"Playground adjacent to Tai Man House, Tai Yuen Estate, Tai Po, N.T.",22.45493537,114.16931875
Libraries,Tiu Keng Leng Public Library,"4 Chui Ling Road, Tseung Kwan O, N.T.",22.30641358,114.25444697
Libraries,Sham Tseng(Mobile Library 12),"Sham Tseng Market Carpark, Sham Tseng, N.T.",22.36801405,114.05920215
Libraries,Po Lam Estate(Mobile Library 2),"Adjacent to Po Ning House(West), Po Lam Estate, Tseung Kwan O, N.T.",22.32572379,114.25425867
Libraries,Ching Ho Estate(Mobile Library 10),"Adjacent to Ching Chiu House, Ching Ho Estate, Sheung Shui, N.T.",22.49325866,114.12506749
Libraries,Ko Yee Estate(Mobile Library 1),"Adjacent to Ko Chi House, Ko Yee Estate, Yau Tong, Kowloon",22.29716562,114.2414389
Libraries,Hin Keng Estate(Mobile Library 5),"Adjacent to Hin Yeung House, Hin Keng Estate, Shatin, N.T.",22.36478769,114.17305578
Libraries,Kai Ching Estate(Mobile Library 1),"Adjacent to Hong Ching House, Kai Ching Estate, Kowloon City, Kowloon",22.33197211,114.20337306
Libraries,Tsui Ping Estate(Mobile Library 2),"Adjacent to Tsui Ying House, Tsui Ping (South) Estate, Kwun Tong, Kowloon",22.31245133,114.23012157
Libraries,Ma On Shan Public Library,"14 On Chun Street, Ma On Shan, Shatin, N.T.",22.4260238,114.23032703
Libraries,Yee Ming Estate(Mobile Library 5),"Adjacent to Yee Ching House, Yee Ming Estate, Tseung Kwan O, N.T.",22.30702216,114.26354002
Libraries,Kai Yip Estate(Mobile Library 7),"Adjacent to Kai Ning House, Kai Yip Estate, Kowloon Bay, Kowloon",22.32961755,114.20987512
Libraries,Shek Wai Kok Public Library,"Units No. 215 -219, Shek Fong House, Shek Wai Kok Estate, Tsuen Wan, N.T.",22.37476698,114.12426667
Libraries,Ming Tak Estate(Mobile Library 5),"Adjacent to Ming Toa House, Ming Tak Estate, Tseung Kwan O, N.T.",22.31677186,114.26957528
Libraries,Oi Tung Estate(Mobile Library 9),"Adjacent to Oi Yuk House, Oi Tung Estate, Aldrich Bay",22.28098512,114.22706086
Libraries,Sheung Wan Cultural Square(Mobile Library 9),"Lay-by near Sheung Wan Cultural Square (Bonham Strand close to the section of Wing Lok Street), Hong Kong",22.28663291,114.1498818
Libraries,Kowloon City Public Library,"3/F., Kowloon City Municipal Services Buliding, 100 Nga Tsin Wai Road, Kowloon City, Kowloon",22.32964034,114.18889123
Libraries,Tsing Tin Playground(Mobile Library 10),"Tsing Tin Playground, Leung Wan Street, Tuen Mun, N.T.",22.40569893,113.96843586
Libraries,Prime View Garden(Mobile Library 3),"Adjacent to carpark Commercial Complex, Prime View Garden, Tuen Mun, N.T.",22.4035637,113.979858
Libraries,Fanling Public Library,"2/F, 9 Wo Mun Street, Fanling, N.T.",22.5001177,114.144424
Libraries,North Kwai Chung Public Library,"2/F & 3/F, North Kwai Chung Market & Library, Shek Yam Road, Kwai Chung, N.T.",22.37059889,114.13861889
Libraries,Tai Hang Tung Estate(Mobile Library 8),"Adjacent to Tung Lung House, Tai Hang Tung Estate, Tai Hang Tung Road, Sham Shui Po, Kowloon",22.33165721,114.17100271
Libraries,Po Tin Estate(Mobile Library 11),"Adjacent to Block 4, Po Tin Estate, Tuen Mun, N.T.",22.40934503,113.96604123
Libraries,San Tin(Mobile Library 3),"Adjacent to San Tin Post Office,1A Castle Peak Road- San Tin, San Tin",22.49896106,114.07805046
Libraries,Mui Wo Public Library,"G/F, Mui Wo Municipal Services Building, 9 Ngan Shek Street, Mui Wo, Lantau Island, N.T.",22.26698558,113.99647877
Libraries,South Lamma Public Library,"Second Street, Sok Kwu Wan, Lamma Island, N.T.",22.20591461,114.13171975
Libraries,Hung Hom Public Library,"6/F., Hung Hom Municipal Services Building, 11 Ma Tau Wai Road, Hunghom, Kowloon",22.30727166,114.1873559
Libraries,Lei King Wan(Mobile Library 9),"Adjacent to Yat Sing Mansion, Tai Hong Street, Lei King Wan, Hong Kong",22.28659418,114.22357147
Libraries,Kwong Fuk Estate(Mobile Library 12),"Adjacent to Kwong Yau House, Kwong Fuk Estate, Tai Po, N.T.",22.44763441,114.17456809
Libraries,Tai Po Public Library,"5/F., Tai Po Complex, 8 Heung Sze Wui Street, Tai Po, N.T.",22.44612511,114.16657675
Libraries,Ap Lei Chau Public Library,"5/F., Ap Lei Chau Municipal Services Building, 8 Hung Shing Street, Ap Lei Chau, Hong Kong",22.24448053,114.15541617
Libraries,Tai Wo Hau Estate(Mobile Library 12),"Adjacent to Fu Pik House, Tai Wo Hau Estate, Tai Wo Hau, N.T.",22.36953453,114.12379384
Libraries,North Point Public Library,"G/F., North Point Market Building, Pak Fuk Road, North Point, Hong Kong",22.29107471,114.205414
Libraries,Bayview Garden(Mobile Library 12),"Adjacent to Block 5, Bayview Garden, Tsuen Wan, N.T.",22.37009384,114.09984618
Libraries,Lai Chi Kok Public Library,"G/F - 1/F. 19 Lai Wan Road, Lai Chi Kok, Kowloon",22.34015687,114.13848158
Libraries,South Kwai Chung Public Library,"4/F, Kwai Hing Government Offices, 166-174 Hing Fong Road, Kwai Chung, N.T.",22.36312881,114.13154307
Libraries,Easeful Court(Mobile Library 11),"Loading Bay adjacent to Tower 1, Easeful Court, Tsing Yi, N.T.",22.36051156,114.10380585
Libraries,Hung Shui Kiu(Mobile Library 10),"Adjacent to Block 3, Aster Court, Hung Shui Kiu, Tin Shui Wai, N.T.",22.43399838,113.99686015
Libraries,Tseung Kwan O Public Library,"9 Wan Lung Road, Tseung Kwan O, N.T.",22.31816897,114.25941318
Libraries,Lei Muk Shue Estate(Mobile Library 12),"Adjacent to Lok Shue House, Lei Muk Shue Estate, Tsuen Wan, N.T.",22.3787497,114.13575
Libraries,Lei Yue Mun Public Library,"1/F., Lei Yue Mun Municipal Services Building, 6 Lei Yue Mun Path, Kwun Tong, Kowloon",22.29206169,114.23867963
