DATASET_EN,NAME_EN,ADDRESS_EN,LATITUDE,LONGITUDE
Restaurant licences,Shikuro Bistro,"G/F, 17 CHIU LUNG STREET, CENTRAL, HONG KONG",22.282598,114.1564993
Restaurant licences,BAAN THAI,"G/F. & C/L., 57 WYNDHAM STREET, CENTRAL, HONG KONG",22.2812768,114.1549201
Restaurant licences,MAJESTY,"WHOLE OF 3RD FLOOR, REGENT CENTRE, 88 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",22.2831406,114.1551291
Restaurant licences,Honky tonks tavern,"LG/F, 75-75A HOLLYWOOD ROAD, CENTRAL, HONG KONG",22.2832795,114.1527016
Restaurant licences,NIRVANA,"G/F, 65 WING LOK STREET, SHEUNG WAN, CENTRAL, HONG KONG",22.2858876,114.1525192
Restaurant licences,TOKIO JOE,"LG/F, 58-62 D'AGUILAR STREET, CENTRAL, HONG KONG",22.2804988,114.155431
Restaurant licences,The LOUNGE,"LOBBY LOUNGE & BAR, PODIUM LV-1, FOUR SEASONS HOTEL, 8 FINANCE STREET, CENTRAL, HONG KONG",22.2862775,114.1571778
Restaurant licences,BASMATI,"1/F., SAN TOI BUILDING, 137-139 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",22.287155,114.151705
Restaurant licences,Queen Victoria 8,"G/F. & M/F., 5-8 QUEEN VICTORIA STREET, CENTRAL, HONG KONG",22.2837831,114.1558955
Restaurant licences,YE SHANGHAI,"UNIT 332, LEVEL 3, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",22.277152,114.1648871
Restaurant licences,Honey Hot,"G/F, 57 PEEL STREET, CENTRAL, HONG KONG",22.2825365,114.1524205
Restaurant licences,OMA,"L/B., HARILELA HOUSE, 79 WYNDHAM STREET, CENTRAL, HONG KONG",22.2819012,114.1546713
Restaurant licences,Zenaji Ramen,"G/F, 269 QUEEN'S ROAD WEST, SAI YING PUN, WESTERN, HONG KONG",22.2869851,114.1431328
Restaurant licences,Golden Restaurant,"1/F, SHUN TAK CENTRE, EAST WING, 200 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, CENTRAL, HONG KONG",22.2879098,114.1517914
Restaurant licences,AL DENTE,"G/F., 16 STAUNTON STREET, CENTRAL, HONG KONG",22.2818357,114.1528923
Restaurant licences,DIVINO,"SHOP 1, UG/F., WINSOME HOUSE, 73 WYNDHAM STREET, CENTRAL, HONG KONG",22.2817408,114.1548588
Restaurant licences,YUNG KEE,"G/F - 4/F, 32-40 WELLINGTON STREET, CENTRAL, HONG KONG",22.2814797,114.1555703
Restaurant licences,CARITAS RESTAURANT,"ROOM 301, 3/F., BLOCK A, CARITAS HOUSE, 2 CAINE ROAD, CENTRAL, HONG KONG",22.2788247,114.1542931
Restaurant licences,simplylife FOODPLACE,"SHOP NO.6, LG/F, CITIBANK PLAZA, 3 GARDEN ROAD, CENTRAL, HONG KONG",22.2786123,114.1609375
Restaurant licences,AMBER,"MAJOR PORTION OF 7/F, THE LANDMARK MANDARIN ORIENTAL, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",22.280518,114.157939
Restaurant licences,DELIFRANCE,"SHOP 176 ON THE FIRST FLOOR, WORLD-WIDE PLAZA, NO. 19 DES VOEUX ROAD CENTRAL, HONG KONG",22.2824934,114.1576903
Restaurant licences,La Parrilla Steakhouse,"1/F., CARFIELD COMMERCIAL BUILDING, 75-77 WYNDHAM STREET, CENTRAL, HONG KONG",22.2818526,114.1547385
